bayesian	('bayesian',)
invariant~number~over	('over~number~invariant',)
distribution~invariant~number~over	('distribution~over~number~invariant',)
under	('under',)
invariant~under	('invariant~under',)
invariant~number~under	('number~invariant~under',)
invariant~number~over~under	('over~number~invariant~under',)
change	('change',)
change~under	('under~change',)
change~invariant~under	('invariant~under~change',)
change~invariant~number~under	('number~invariant~under~change',)
scale	('scale',)
normalization	('normalization',)
normalization~scale	('scale~normalization',)
change~normalization~scale	('change~scale~normalization',)
change~normalization~scale~under	('under~change~scale~normalization',)
differentiating	('differentiating',)
differentiating~normalization	('normalization~differentiating',)
differentiating~normalization~scale	('scale~normalization~differentiating',)
change~differentiating~normalization~scale	('change~scale~normalization~differentiating',)
setting	('setting',)
differentiating~setting	('differentiating~setting',)
differentiating~normalization~setting	('normalization~differentiating~setting',)
differentiating~normalization~scale~setting	('scale~normalization~differentiating~setting',)
solution	('solution',)
setting~solution	('setting~solution',)
differentiating~setting~solution	('differentiating~setting~solution',)
differentiating~normalization~setting~solution	('normalization~differentiating~setting~solution',)
proper	('proper',)
proper~solution	('solution~proper',)
proper~setting~solution	('setting~solution~proper',)
differentiating~proper~setting~solution	('differentiating~setting~solution~proper',)
probability~proper	('proper~probability',)
probability~proper~solution	('solution~proper~probability',)
probability~proper~setting~solution	('setting~solution~proper~probability',)
distribution~probability~proper	('proper~probability~distribution',)
distribution~probability~proper~solution	('solution~proper~probability~distribution',)
diverges	('diverges',)
physics	('physics',)
law~physics	('law~physics',)
diverges~law~physics	('diverges~law~physics',)
distribution~diverges~law~physics	('distribution~diverges~law~physics',)
human	('human',)
human~physics	('physics~human',)
human~law~physics	('law~physics~human',)
diverges~human~law~physics	('diverges~law~physics~human',)
convention	('convention',)
convention~human	('human~convention',)
convention~human~physics	('physics~human~convention',)
convention~human~law~physics	('law~physics~human~convention',)
impose	('impose',)
convention~impose	('convention~impose',)
convention~human~impose	('human~convention~impose',)
convention~human~impose~physics	('physics~human~convention~impose',)
cutoffs	('cutoffs',)
example	('example',)
randomly	('randomly',)
example~randomly	('example~randomly',)
cutoffs~example~randomly	('cutoffs~example~randomly',)
cutoffs~example~impose~randomly	('impose~cutoffs~example~randomly',)
street	('street',)
randomly~street	('randomly~street',)
example~randomly~street	('example~randomly~street',)
cutoffs~example~randomly~street	('cutoffs~example~randomly~street',)
addresses	('addresses',)
addresses~street	('street~addresses',)
addresses~randomly~street	('randomly~street~addresses',)
addresses~example~randomly~street	('example~randomly~street~addresses',)
obey	('obey',)
addresses~obey	('addresses~obey',)
addresses~obey~street	('street~addresses~obey',)
addresses~obey~randomly~street	('randomly~street~addresses~obey',)
something	('something',)
obey~something	('obey~something',)
addresses~obey~something	('addresses~obey~something',)
addresses~obey~something~street	('street~addresses~obey~something',)
close	('close',)
close~something	('something~close',)
close~obey~something	('obey~something~close',)
addresses~close~obey~something	('addresses~obey~something~close',)
benford~close	('close~benford',)
benford~close~something	('something~close~benford',)
benford~close~obey~something	('obey~something~close~benford',)
law~many	('law~many',)
benford~law~many	('benford~law~many',)
benford~close~law~many	('close~benford~law~many',)
powers	('powers',)
many~powers	('many~powers',)
law~many~powers	('law~many~powers',)
benford~law~many~powers	('benford~law~many~powers',)
lie	('lie',)
lie~powers	('powers~lie',)
lie~many~powers	('many~powers~lie',)
law~lie~many~powers	('law~many~powers~lie',)
cutoffs~probability	('cutoffs~probability',)
cutoffs~lie~probability	('lie~cutoffs~probability',)
cutoffs~lie~powers~probability	('powers~lie~cutoffs~probability',)
first~probability	('probability~first',)
cutoffs~first~probability	('cutoffs~probability~first',)
cutoffs~first~lie~probability	('lie~cutoffs~probability~first',)
decimal	('decimal',)
decimal~digit	('decimal~digit',)
decimal~digit~first	('first~decimal~digit',)
decimal~digit~first~probability	('probability~first~decimal~digit',)
logarithmic	('logarithmic',)
digit~logarithmic	('digit~logarithmic',)
decimal~digit~logarithmic	('decimal~digit~logarithmic',)
decimal~digit~first~logarithmic	('first~decimal~digit~logarithmic',)
distribution~logarithmic	('logarithmic~distribution',)
digit~distribution~logarithmic	('digit~logarithmic~distribution',)
decimal~digit~distribution~logarithmic	('decimal~digit~logarithmic~distribution',)
above	('above',)
above~distribution	('distribution~above',)
above~distribution~logarithmic	('logarithmic~distribution~above',)
above~digit~distribution~logarithmic	('digit~logarithmic~distribution~above',)
tabulated	('tabulated',)
above~tabulated	('above~tabulated',)
above~distribution~tabulated	('distribution~above~tabulated',)
above~distribution~logarithmic~tabulated	('logarithmic~distribution~above~tabulated',)
below	('below',)
below~benford	('below~benford',)
below~benford~tabulated	('tabulated~below~benford',)
above~below~benford~tabulated	('above~tabulated~below~benford',)
below~benford~law	('below~benford~law',)
below~benford~law~tabulated	('tabulated~below~benford~law',)
applies~below~benford~law	('below~benford~law~applies',)
applies~only	('applies~only',)
applies~law~only	('law~applies~only',)
applies~benford~law~only	('benford~law~applies~only',)
scale-invariant	('scale-invariant',)
only~scale-invariant	('only~scale-invariant',)
applies~only~scale-invariant	('applies~only~scale-invariant',)
applies~law~only~scale-invariant	('law~applies~only~scale-invariant',)
variety	('variety',)
number~variety	('number~variety',)
data~number~variety	('data~number~variety',)
data~number~scale-invariant~variety	('scale-invariant~data~number~variety',)
different	('different',)
different~variety	('variety~different',)
different~number~variety	('number~variety~different',)
data~different~number~variety	('data~number~variety~different',)
sources	('sources',)
fact	('fact',)
fact~sources	('sources~fact',)
different~fact~sources	('different~sources~fact',)
different~fact~sources~variety	('variety~different~sources~fact',)
rigorous	('rigorous',)
fact~rigorous	('fact~rigorous',)
fact~rigorous~sources	('sources~fact~rigorous',)
different~fact~rigorous~sources	('different~sources~fact~rigorous',)
investigation	('investigation',)
investigation~rigorous	('rigorous~investigation',)
fact~investigation~rigorous	('fact~rigorous~investigation',)
fact~investigation~rigorous~sources	('sources~fact~rigorous~investigation',)
central	('central',)
central~investigation	('investigation~central',)
central~investigation~rigorous	('rigorous~investigation~central',)
central~fact~investigation~rigorous	('fact~rigorous~investigation~central',)
limit	('limit',)
theorems	('theorems',)
limit~theorems	('limit~theorems',)
central~limit~theorems	('central~limit~theorems',)
central~investigation~limit~theorems	('investigation~central~limit~theorems',)
mantissas	('mantissas',)
random	('random',)
mantissas~random	('mantissas~random',)
mantissas~random~theorems	('theorems~mantissas~random',)
limit~mantissas~random~theorems	('limit~theorems~mantissas~random',)
variables	('variables',)
random~variables	('random~variables',)
mantissas~random~variables	('mantissas~random~variables',)
mantissas~random~theorems~variables	('theorems~mantissas~random~variables',)
under~variables	('variables~under',)
random~under~variables	('random~variables~under',)
mantissas~random~under~variables	('mantissas~random~variables~under',)
multiplication	('multiplication',)
multiplication~number	('multiplication~number',)
multiplication~number~under	('under~multiplication~number',)
multiplication~number~under~variables	('variables~under~multiplication~number',)
number~variables	('number~variables',)
multiplication~number~variables	('multiplication~number~variables',)
increases	('increases',)
density	('density',)
density~increases	('increases~density',)
density~increases~variables	('variables~increases~density',)
density~increases~number~variables	('number~variables~increases~density',)
density~function	('density~function',)
density~function~increases	('increases~density~function',)
density~function~increases~variables	('variables~increases~density~function',)
above~function	('function~above',)
above~density~function	('density~function~above',)
above~density~function~increases	('increases~density~function~above',)
above~logarithmic	('above~logarithmic',)
above~function~logarithmic	('function~above~logarithmic',)
above~density~function~logarithmic	('density~function~above~logarithmic',)
distribution~hill	('distribution~hill',)
distribution~hill~logarithmic	('logarithmic~distribution~hill',)
above~distribution~hill~logarithmic	('above~logarithmic~distribution~hill',)
rigorously	('rigorously',)
hill~rigorously	('hill~rigorously',)
distribution~hill~rigorously	('distribution~hill~rigorously',)
distribution~hill~logarithmic~rigorously	('logarithmic~distribution~hill~rigorously',)
demonstrated	('demonstrated',)
demonstrated~rigorously	('rigorously~demonstrated',)
demonstrated~hill~rigorously	('hill~rigorously~demonstrated',)
demonstrated~distribution~hill~rigorously	('distribution~hill~rigorously~demonstrated',)
demonstrated~random	('demonstrated~random',)
demonstrated~random~rigorously	('rigorously~demonstrated~random',)
demonstrated~hill~random~rigorously	('hill~rigorously~demonstrated~random',)
samples	('samples',)
random~samples	('random~samples',)
demonstrated~random~samples	('demonstrated~random~samples',)
demonstrated~random~rigorously~samples	('rigorously~demonstrated~random~samples',)
taken	('taken',)
samples~taken	('samples~taken',)
random~samples~taken	('random~samples~taken',)
demonstrated~random~samples~taken	('demonstrated~random~samples~taken',)
taken~variety	('taken~variety',)
samples~taken~variety	('samples~taken~variety',)
random~samples~taken~variety	('random~samples~taken~variety',)
different~taken~variety	('taken~variety~different',)
different~samples~taken~variety	('samples~taken~variety~different',)
benford~fact	('fact~benford',)
benford~distribution~fact	('distribution~fact~benford',)
benford~different~distribution~fact	('different~distribution~fact~benford',)
